,Single Step,Single Step,Single Step,Multi-Step,Multi-Step,Multi-Step,Multi-Step
,MAE,RMSE,MAPE,MAE,RMSE,MAPE,Coverage Rate (%)
Ticker,,,,,,,
SPY,4.365275737231157,5.774489494228593,0.9709548734311584,8.47868352703963,10.819161100117682,1.8836878639696193,83.21613394216133
AAPL,3.0322606698395203,4.168941967497919,1.7154840125022757,5.7143104578719255,7.4951512364691615,3.200451669435131,83.29223744292239
MSFT,5.214668642071244,6.783667897649948,1.6219725633602637,9.313233933799411,12.423368587941047,2.7626384418996146,82.81887366818874
MA,4.848608487229664,6.505618857502192,1.224172110550393,8.629170791587063,11.552758410611142,2.166725462027676,83.5076103500761
V,3.0273795520799283,4.2080925074663655,1.2450327624916289,5.2281125039284175,6.860227073384518,2.140764808799901,83.72602739726027
AXP,3.0813499335341548,4.406697426584112,1.6239725120065056,6.5639517253856505,8.80983480778313,3.6020344687743178,82.84855403348554
CRM,4.782801830273316,6.777867589603374,2.1795652377396815,10.037952818998173,14.096872594807744,4.469037443635529,83.13470319634703
GOOG,2.497532816960382,3.3748557167867186,1.8981889267025056,4.74771494637755,6.279084270655539,3.6314455813443156,82.96499238964992
NVDA,2.204916773820965,3.5001789514499455,3.709684896246024,3.8509305776991116,6.256512013687853,6.263280378056918,84.27321156773212
IBKR,2.2712281012307596,3.8762154015594668,2.0521646149514177,3.5745720685541142,5.710546348252287,3.5789116966300702,83.66590563165906
TSLA,9.429272456228185,12.958712762476617,4.071889590151512,19.719826931554405,26.75695743621889,9.371357247277949,84.60290280495761
AMD,4.081273501917781,5.513303804063283,3.705507011883966,9.270952640254766,12.511866434181762,7.6641405717246025,85.42922374429224
KO,0.5961825573249471,0.8010980448466899,0.9945658410482934,1.2138410719274109,1.6520571719360022,2.1014955081903084,83.77701674277017
AMZN,3.1333571329408594,4.264156562229665,2.293321459815948,5.317262408998859,7.571471797571907,3.8113637562267955,83.2214611872146
META,9.419503099414644,13.745235459574186,2.5150039888496294,16.8141380999085,24.496366405313577,4.173802670205113,83.91064627977036
GOOGL,2.662962806005135,3.565156483210089,2.0445625926312205,4.691343868508588,6.310536985066655,3.578723184604492,82.59512937595129
AVGO,2.87530449210416,5.236624473657565,2.377244385645646,4.860467401341858,8.11425973699774,4.334802568658646,83.83333333333334
JPM,2.3236891038650263,3.3607745213975964,1.4283256915266243,4.681379370939885,6.336475611760099,2.966184440829298,82.88051750380518
LLY,12.09511037218849,17.833089861590018,2.0319360015642283,23.28404293752445,33.053052396328056,3.9399327310389745,81.337899543379
UNH,7.531709744057993,10.738708634678392,1.4941694323834416,14.964616531559543,21.25183081393767,3.025316619814586,83.37062404870625
XOM,1.5306640502948752,2.0524487135230185,1.5171583020532202,3.085349271281323,4.055293373959403,2.9724292804951,83.63470319634703
COST,11.032687082812823,17.75923050593099,1.657000132910371,16.572838333593168,23.065670234352183,2.6321137955609606,84.25570776255708
NFLX,12.435931890673611,17.301426788199315,2.7439601477452165,21.95982454900063,29.590997315873526,4.791632602051908,81.65601217656013
WMT,0.790288141262457,1.2609833955108465,1.2960710856345958,1.4005605587424992,2.143288034770729,2.3656179983480494,83.97564687975647
PG,1.5735013401005227,2.082148341251094,1.0703965973620437,3.2886759413350966,4.321823627967729,2.233334223026538,82.67275494672755
JNJ,1.6710233042229243,2.2408430539124935,1.0908913565843938,3.5103749839359604,4.516967705701179,2.313113304417254,85.00913242009133
HD,4.811898261830423,6.296487079713361,1.4986476935391368,9.583169480251552,12.95204719963622,3.020026531471011,83.27016742770167
ABBV,2.49498049716319,3.654761183658132,1.5419137820112883,5.141219519715332,7.081449013716945,3.269399505803268,83.18982387475539
BAC,0.5961277372745571,0.814482728835483,1.7952965284604323,1.226470498688163,1.7028729936264086,3.9538210553434934,84.18721461187214
PM,1.4816705688965415,2.1649084266960203,1.487046341504083,2.4375297180242432,3.5386995028621104,2.575698320641737,84.72602739726027
CVX,2.4938465488918595,3.581986713666947,1.696182418500174,4.180018846276146,5.787453230420514,2.851257633811287,83.55631659056316
CSCO,0.6392431631019736,0.9355034947763479,1.3425041147582206,1.2044774569465049,1.661833694559937,2.5382531613447528,85.10654490106545
ABT,1.4759859162753302,1.9852429056447727,1.391155714811643,3.0145938387416815,3.8678102359212128,2.9274159893679994,83.53348554033485
MCD,3.0316913699474175,4.031578727639433,1.1312803689925506,6.369960867437368,8.549893536904834,2.4030618702030484,83.87290715372907
ORCL,2.280398586720514,3.470263761767579,1.9801620858076934,4.968229067620901,7.057611506844605,4.35495407082652,81.30060882800609
IBM,2.522373014846832,4.035306783923188,1.530268801147452,5.276762730215795,7.4263989130978665,3.378448088852005,83.25570776255708
WFC,1.0361852184114246,1.4143219179460669,2.1301925162226722,1.8967851724021856,2.6550762747021723,4.138059669131315,84.23896499238965
PEP,1.904846058014431,2.5628179440968335,1.1848304593772536,3.70210023541433,5.0274278014478035,2.2589104417635393,85.0593607305936
MRK,1.508348636715863,2.03661091301057,1.5004648299828887,2.7756949351051436,3.826977288349353,2.5802759454446575,83.10806697108067
GE,2.3370655404124374,3.5167309805934592,2.161993222046482,3.8812727492361923,5.719552114881109,3.6803809431595393,82.09817351598173
Average,,,1.8236283751233544,,,3.497607538605196,83.50285829658984
